Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ARIS,"Aris Water Solutions Inc Cl A",24.27,0.28,+1.17%,23.94,24.32,23.94,714100,2025-08-29
ARKO,"Arko Corp",5,0.02,+0.40%,5,5.06,4.95,398600,2025-08-29
ARL,"American Realty Investors",15.3,0.09,+0.59%,15.3,15.3,15.3,400,2025-08-29
ARLO,"Arlo Technologies Inc",17.41,-0.44,-2.46%,17.8,17.95,17.21,1577100,2025-08-29
AROC,"Archrock Inc",24.76,-0.06,-0.24%,24.95,24.99,24.625,1153600,2025-08-29
AROW,"Arrow Financial Corp",29.73,-0.05,-0.17%,29.98,30.22,28.61,87900,2025-08-29
ARQ,"Arq Inc",7.72,0.08,+1.05%,7.73,7.82,7.57,305100,2025-08-29
ARQT,"Arcutis Biotherapeutics Inc",15.52,0.03,+0.19%,15.53,15.59,15.1,1185300,2025-08-29
ARR,"Armour Residential R",15.31,0.17,+1.12%,15.12,15.33,15.095,2797200,2025-08-29
ARRY,"Array Technologies Inc",9.01,-0.1,-1.10%,9.1,9.17,8.96,2803500,2025-08-29
ARVN,"Arvinas Inc",7.73,-0.03,-0.39%,7.82,7.85,7.63,735400,2025-08-29
ARWR,"Arrowhead Pharma",22.03,-0.31,-1.39%,22.43,22.55,21.61,2388600,2025-08-29
ASAN,"Asana Inc Cl A",14.6,0.039999999999999,+0.27%,14.62,14.865,14.46,3421400,2025-08-29
ASB,"Associated Banc-Corp",26.97,-0.04,-0.15%,27.24,27.46,26.92,1870900,2025-08-29
ASC,"Ardmore Shipping Corp",11.62,-0.01,-0.09%,11.63,11.68,11.46,305900,2025-08-29
ASGN,"On Assignment",54.25,1,+1.88%,53.31,54.26,53.31,690700,2025-08-29
ASIX,"Advansix Inc",21.46,0.38,+1.80%,21.12,21.47,21.12,206400,2025-08-29
ASLE,"Aersale Corp",8.63,-0.25,-2.82%,8.9,8.9,8.54,378100,2025-08-29
ASO,"Academy Sports and Outdoors Inc",53.55,-0.11,-0.20%,53.66,53.83,52.05,2505700,2025-08-29
ASPI,"Asp Isotopes Inc",9.28,-1.26,-11.91%,10.2,10.2,8.95,8997200,2025-08-29
ASPN,"Aspen Aerogels Inc",6.84,-0.12,-1.72%,6.96,7.04,6.78,1079300,2025-08-29
ASTE,"Astec Inds Inc",46.29,-0.68,-1.45%,46.83,47.13,45.71,290800,2025-08-29
ASTH,"Astrana Health Inc",31.96,0.63,+2.01%,31.45,32.16,31.42,358000,2025-08-29
ASUR,"Asure Software",8.4,0,0.00%,8.39,8.49,8.31,69500,2025-08-29
ATEC,"Alphatec Holdings",15.9,-0.13,-0.81%,16.14,16.14,15.77,1651200,2025-08-29
ATEN,"A10 Networks Inc",17.71,0.12,+0.68%,17.59,17.75,17.5,1171800,2025-08-29
ATEX,"Anterix Inc.",23.74,0.42,+1.80%,23.37,23.93,22.92,225700,2025-08-29
ATGE,"Adtalem Global Education Inc",130.95,-0.82,-0.62%,131.7,132.13,130.2,317000,2025-08-29
ATKR,"Atkore Inc",58.19,-0.38,-0.65%,58.52,58.87,57.3906,360800,2025-08-29
ATLC,"Atlanticus Holdings Corp",66.7,-0.13,-0.19%,66.52,67.07,66.27,20900,2025-08-29
ATLO,"Ames Natl Corp",19.98,0.06,+0.30%,19.8,20.1,19.75,14300,2025-08-29
ATMU,"Atmus Filtration Technologies Inc",44.52,-0.07,-0.16%,44.56,44.78,44.16,604300,2025-08-29
ATNI,"Atn International",17,0.99,+6.18%,16.07,17.12,16.01,57900,2025-08-29
ATOM,"Atomera Inc",3.28,-0.05,-1.50%,3.33,3.38,3.26,179300,2025-08-29
ATRC,"Atricure Inc",36.99,-0.23,-0.62%,37.47,37.58,36.94,334300,2025-08-29
ATRO,"Astronics Corp",36.37,-1.46,-3.86%,37.83,38,36.01,837300,2025-08-29
ATUS,"Altice USA Inc Cl A",2.34,-0.01,-0.43%,2.36,2.37,2.26,1512700,2025-08-29
ATXS,"Astri Therapeutics Inc",6.18,-0.35,-5.36%,6.53,6.59,6.09,235500,2025-08-29
ATYR,"Atyr Pharma Inc",5.38,0.03,+0.56%,5.48,5.72,5.16,4681000,2025-08-29
AUB,"Atlantic Union Bancshares Corp",35.73,0.22,+0.62%,35.55,35.89,35.465,769000,2025-08-29
AUPH,"Aurinia Pharm Ord",11.99,-0.09,-0.75%,12.15,12.16,11.93,806000,2025-08-29
AURA,"Aura Biosciences Inc",6.26,-0.17,-2.64%,6.48,6.49,6.19,130500,2025-08-29
AVA,"Avista Corp",36.54,-0.01,-0.03%,36.57,36.87,36.48,455700,2025-08-29
AVAH,"Aveanna Healthcare Holdings Inc",8,0.16,+2.04%,7.87,8.03,7.85,1768300,2025-08-29
AVAV,"Aerovironment Inc",241.35,-7.58,-3.05%,253.14,253.7,238.48,624900,2025-08-29
AVBP,"Arrivent Biopharma Inc",19.12,-0.09,-0.47%,19.18,19.53,18.65,225100,2025-08-29
AVD,"American Vanguard Corp",5.4,0.14,+2.66%,5.29,5.45,5.21,107500,2025-08-29
AVDL,"Avadel Pharmaceuticals Plc ADR",14.76,0.14,+0.96%,14.76,14.77,14.36,1646200,2025-08-29
AVDX,"Avidxchange Holdings Inc",9.94,0.01,+0.10%,9.93,9.94,9.92,1195200,2025-08-29
AVIR,"Atea Pharmaceuticals Inc",3.36,-0.11,-3.17%,3.48,3.53,3.35,161100,2025-08-29
AVNS,"Avanos Medical Inc",11.94,0.07,+0.59%,11.84,11.97,11.73,647200,2025-08-29
AVNT,"Avient Corp",37.4,0.17,+0.46%,37.4,37.67,37.205,507600,2025-08-29
AVNW,"Aviat Networks Inc",22.96,-0.29,-1.25%,23.33,23.82,22.76,93900,2025-08-29
AVO,"Mission Produce Inc",12.51,-0.14,-1.11%,12.68,12.69,12.47,254700,2025-08-29
AVPT,"Avepoint Inc Cl A",16.36,0.26,+1.61%,16.11,16.38,15.97,1702000,2025-08-29
AVR,"Anteris Technologies Global Corp",4.02,0.42,+11.67%,3.66,4.09,3.66,178900,2025-08-29
AVXL,"Anavex Lf SC",9.64,0.42,+4.56%,9.2,9.74,9.15,882900,2025-08-29
AWR,"American States Water Company",74.53,0.18000000000001,+0.24%,74.4,74.94,73.8101,322100,2025-08-29
AX,"Axos Financial Inc",91.21,-0.14,-0.15%,91.36,92.02,90.64,212600,2025-08-29
AXGN,"Axogen Inc",16.14,-0.08,-0.49%,16.31,16.47,15.88,1938600,2025-08-29
AXL,"American Axle & Manufacturing",5.82,-0.15,-2.51%,5.92,5.92,5.6701,11904700,2025-08-29
AXSM,"Axsome Thera",121.28,-0.47,-0.39%,121.75,122.28,119.93,351600,2025-08-29
AZTA,"Azenta Inc",30.54,0.62,+2.07%,29.97,30.59,29.97,437300,2025-08-29
AZZ,"Azz Inc",112.89,-2.11,-1.83%,115.44,115.44,112.34,170800,2025-08-29
BALY,"Ballys Corporation",9.95,-0.05,-0.50%,10.14,10.21,9.91,40200,2025-08-29
BANC,"First Pactrust Bancorp",16.92,0.090000000000003,+0.53%,16.85,17.0951,16.81,2072900,2025-08-29
BAND,"Bandwidth Inc",15,-0.04,-0.27%,14.88,15.2,14.86,265300,2025-08-29
BANF,"Bancfirst Corp",132.97,-1.29,-0.96%,134.32,134.99,132.97,98000,2025-08-29
BANR,"Banner Corp",67.03,-0.23,-0.34%,67.5,67.84,66.97,117000,2025-08-29
